region,anio,periodo,fuerza_trabajo,fuerza_trabajo_potencial,pct_poblacion_edad_trabajar,poblacion_desocupada,poblacion_edad_trabajar,poblacion_fuera_fuerza_trabajo,poblacion_ocupada,poblacion_subocupada,poblacion_total,td,tgp,to,ts,sidx,informalidad_laboral_nacional,informalidad_empresarial_nacional,informalidad_micronegocios_nacional,td_dispersion_regional,td_dispersion_regional_obs,informalidad_laboral_regional_real,informalidad_empresarial_nacional_obs,informalidad_laboral_nacional_obs,informalidad_micronegocios_nacional_obs,informalidad_laboral_regional_real_obs,td_lag1,td_lag2,td_roll4,to_lag1,to_lag2,to_roll4,tgp_lag1,tgp_lag2,tgp_roll4,ts_lag1,ts_lag2,ts_roll4,informalidad_laboral_lag1,informalidad_empresarial_lag1,informalidad_micronegocios_lag1,informalidad_laboral_regional_real_lag1,td_dispersion_regional_lag1,td_target,periodo_II,year_trend,region_Caribe,region_Central,region_Oriental,region_Orinoquía/Amazonía/Insular,region_Pacífica
Caribe,2020,I,4957.468688,0.0,72.441588,594.258248,8186.938,3229.469312,4363.21044,0.0,11301.433667,11.987131,60.553392,53.294778,0.0,4040,59.80175198632354,86.83333333333333,88.47055828777552,2.553490348549991,1,87.43423241742597,1,0,0,0,8.36505,8.215912,7.7590275,60.671424,61.197737,61.34069325,66.209916,66.675759,66.50033975,11.794937,11.848479,11.243823999999998,59.80175198632354,86.35000000000001,88.47055828777552,87.43423241742597,3.193139830118839,11.894941,0,10,1,0,0,0,0
Caribe,2020,II,5094.733918,0.0,72.593745,606.015602,8288.540333,3193.806415,4488.718316,0.0,11417.706,11.894941,61.467203,54.155715,0.0,4041,59.80175198632354,86.83333333333333,88.47055828777552,2.553490348549991,1,87.43423241742597,1,0,0,0,11.987131,8.36505,8.962792,53.294778,60.671424,59.43502775,60.553392,66.209916,65.2326765,0.0,11.794937,8.5816685,59.80175198632354,86.83333333333333,88.47055828777552,87.43423241742597,2.553490348549991,11.838445,1,10,1,0,0,0,0
Caribe,2021,I,5282.344715,344.457024,72.747903,625.34749,8372.7655,3090.420785,4656.997225,583.657185,11509.287833,11.838445,63.089605,55.620777,11.049207,4042,59.80175198632354,87.0,88.47055828777552,3.4524486492907585,1,87.43423241742597,1,1,0,0,11.894941,11.987131,10.1157585,54.155715,53.294778,57.3299135,61.467203,60.553392,63.7265675,0.0,0.0,5.910853999999999,59.80175198632354,86.83333333333333,88.47055828777552,87.43423241742597,2.553490348549991,10.800673,0,11,1,0,0,0,0
Caribe,2021,II,5261.495252,350.416317,72.901339,568.276921,8445.805667,3184.310415,4693.218331,596.166565,11585.2545,10.800673,62.297138,55.568628,11.330744,4043,58.91424850798273,87.0,88.47055828777552,3.4524486492907585,1,87.43423241742597,1,1,0,0,11.838445,11.894941,11.021391750000001,55.620777,54.155715,55.9356735,63.089605,61.467203,62.830029,11.049207,0.0,5.711036,59.80175198632354,87.0,88.47055828777552,87.43423241742597,3.4524486492907585,11.764141,1,11,1,0,0,0,0
Caribe,2022,I,5330.02295,448.45899,73.053609,627.03141,8509.349,3179.32605,4702.99154,635.275547,11648.0885,11.764141,62.637259,55.268523,11.918814,4044,58.19432163882343,86.39999999999999,88.47055828777552,2.2767265823249048,1,87.43423241742597,1,1,0,1,10.800673,11.838445,11.6302975,55.568628,55.620777,54.659974500000004,62.297138,63.089605,61.851834499999995,11.330744,11.049207,5.59498775,58.91424850798273,87.0,88.47055828777552,87.43423241742597,3.4524486492907585,10.944072,0,12,1,0,0,0,0
Caribe,2022,II,5449.046805,470.529501,73.195754,596.347632,8568.7745,3119.727695,4852.699173,632.38783,11706.655167,10.944072,63.591903,56.632359,11.605476,4045,57.83291770794249,86.39999999999999,88.47055828777552,2.2767265823249048,1,87.89861964707158,1,1,0,1,11.764141,10.800673,11.57455,55.268523,55.568628,55.15341075,62.637259,62.297138,62.372801249999995,11.918814,11.330744,8.574691249999999,58.19432163882343,86.39999999999999,88.47055828777552,87.43423241742597,2.2767265823249048,11.058541,1,12,1,0,0,0,0
Caribe,2023,I,5463.479948,461.789086,73.345564,604.181171,8630.622833,3167.142885,4859.298777,601.210278,11767.068667,11.058541,63.303426,56.302991,11.004164,4046,56.95815823332256,87.21666666666665,88.47055828777552,2.16355912523793,1,86.84867339812763,1,1,0,1,10.944072,11.764141,11.33683275,56.632359,55.268523,55.77257175,63.591903,62.637259,62.90397625,11.605476,11.918814,11.47606025,57.83291770794249,86.39999999999999,88.47055828777552,87.89861964707158,2.2767265823249048,9.43831,0,13,1,0,0,0,0
Caribe,2023,II,5417.212263,498.604323,73.534376,511.293264,8696.091833,3278.879571,4905.918999,569.228789,11825.8865,9.43831,62.294791,56.415216,10.507781,4047,55.73995757060892,87.21666666666665,88.47055828777552,2.16355912523793,1,86.47026907624269,1,1,0,1,11.058541,10.944072,11.141856749999999,56.302991,56.632359,55.94312525,63.303426,63.591903,62.9574315,11.004164,11.605476,11.4647995,56.95815823332256,87.21666666666665,88.47055828777552,86.84867339812763,2.16355912523793,11.236105,1,13,1,0,0,0,0
Caribe,2024,I,5295.638945,420.569951,73.75734,595.02353,8765.278167,3469.639222,4700.615415,508.987626,11883.940167,11.236105,60.416097,53.627681,9.611449,4048,56.05255433416973,86.95833333333333,88.47055828777552,0.886736396251542,1,86.09170034713124,1,1,1,1,9.43831,11.058541,10.801266,56.415216,56.302991,56.15477224999999,62.294791,63.303426,62.956844749999995,10.507781,11.004164,11.25905875,55.73995757060892,87.21666666666665,88.47055828777552,86.47026907624269,2.16355912523793,9.625211,0,14,1,0,0,0,0
Caribe,2024,II,5434.653568,417.796147,73.966068,523.096893,8831.939667,3397.286098,4911.556675,511.312866,11940.528833,9.625211,61.534088,55.611302,9.40838,4049,55.754455257184894,86.95833333333333,88.47055828777552,0.886736396251542,1,86.14452629580785,1,1,1,1,11.236105,9.43831,10.669257,53.627681,56.415216,55.74456175,60.416097,62.294791,62.40155425,9.611449,10.507781,10.6822175,56.05255433416973,86.95833333333333,88.47055828777552,86.09170034713124,0.886736396251542,10.48922,1,14,1,0,0,0,0
Caribe,2025,I,5478.427554,436.947472,74.151351,574.644341,8896.280667,3417.853113,4903.783213,516.744323,11997.462667,10.48922,61.581101,55.121723,9.432347,4050,56.12201016666666,86.95833333333333,88.47055828777552,1.206983844560968,1,85.98787255293905,0,1,0,1,9.625211,11.236105,10.33954175,55.611302,53.627681,55.4892975,61.534088,60.416097,61.8871005,9.40838,9.611449,10.1329435,55.754455257184894,86.95833333333333,88.47055828777552,86.14452629580785,0.886736396251542,9.174676,0,15,1,0,0,0,0
Caribe,2025,II,5552.691295,435.924325,74.334646,509.441457,8959.7775,3407.086205,5043.249838,496.093153,12053.2995,9.174676,61.97354,56.287668,8.934283,4051,55.3332054,86.95833333333333,88.47055828777552,1.206983844560968,1,86.20495029898986,0,1,0,1,10.48922,9.625211,10.1972115,55.121723,55.611302,55.1939805,61.581101,61.534088,61.45651925,9.432347,9.40838,9.73998925,56.12201016666666,86.95833333333333,88.47055828777552,85.98787255293905,1.206983844560968,,1,15,1,0,0,0,0
Central,2010,I,5274.714014,0.0,73.894378,760.907296,8044.8925,2770.178486,4513.806718,673.402383,10887.015667,14.425565,65.565997,56.107732,12.766614,4020,59.80175198632354,86.35000000000001,88.47055828777552,3.104684657882396,1,76.98113867414318,0,0,0,0,,,,,,,,,,,,,,,,,,12.595843,0,0,0,1,0,0,0
Central,2010,II,5328.662561,0.0,74.179331,671.189985,8109.595667,2780.933105,4657.472576,648.352952,10932.4195,12.595843,65.708116,57.431625,12.167274,4021,59.80175198632354,86.35000000000001,88.47055828777552,3.104684657882396,1,76.98113867414318,0,0,0,0,14.425565,,,56.107732,,,65.565997,,,12.766614,,,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,3.104684657882396,13.483289,1,0,0,1,0,0,0
Central,2011,I,5311.906208,0.0,74.462283,716.219666,8174.418,2862.511792,4595.686542,627.18497,10977.931,13.483289,64.982072,56.220352,11.807154,4022,59.80175198632354,86.35000000000001,88.47055828777552,3.527449125464865,1,76.98113867414318,0,0,0,0,12.595843,14.425565,13.510704,57.431625,56.107732,56.7696785,65.708116,65.565997,65.6370565,12.167274,12.766614,12.466944000000002,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,3.104684657882396,11.593043,0,1,0,1,0,0,0
Central,2011,II,5436.335392,0.0,74.73882,630.236682,8237.960833,2801.625441,4806.09871,614.754783,11022.332,11.593043,65.991275,58.340878,11.308257,4023,59.80175198632354,86.35000000000001,88.47055828777552,3.527449125464865,1,76.98113867414318,0,0,0,0,13.483289,12.595843,13.501565666666666,56.220352,57.431625,56.58656966666666,64.982072,65.708116,65.41872833333333,11.807154,12.167274,12.247014,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,3.527449125464865,12.414836,1,1,0,1,0,0,0
Central,2012,I,5501.330827,0.0,75.011815,682.981208,8300.842333,2799.511506,4818.349619,632.247775,11066.0465,12.414836,66.274368,58.046514,11.492633,4024,59.80175198632354,86.35000000000001,88.47055828777552,2.2396703792448047,1,76.98113867414318,0,0,0,0,11.593043,13.483289,13.024435,58.340878,56.220352,57.02514675,65.991275,64.982072,65.561865,11.308257,11.807154,12.012324750000001,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,3.527449125464865,11.100412,0,2,0,1,0,0,0
Central,2012,II,5477.926749,0.0,75.27739,608.072413,8362.349167,2884.422418,4869.854336,643.046859,11108.713,11.100412,65.507032,58.235482,11.738873,4025,59.80175198632354,86.35000000000001,88.47055828777552,2.2396703792448047,1,76.98113867414318,0,0,0,0,12.414836,11.593043,12.521752750000001,58.046514,58.340878,57.50984225,66.274368,65.991275,65.73895775,11.492633,11.308257,11.6938295,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,2.2396703792448047,11.797809,1,2,0,1,0,0,0
Central,2013,I,5455.975773,0.0,75.537657,643.685577,8423.1925,2967.216727,4812.290196,604.052981,11150.984667,11.797809,64.773253,57.131428,11.071401,4026,59.80175198632354,86.35000000000001,88.47055828777552,2.5056062104600927,1,76.98113867414318,0,0,0,0,11.100412,12.414836,12.147895,58.235482,58.046514,57.7108065,65.507032,66.274368,65.68868675,11.738873,11.492633,11.58672925,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,2.2396703792448047,9.548844,0,3,0,1,0,0,0
Central,2013,II,5529.821553,0.0,75.789084,528.03403,8483.361833,2953.54028,5001.787524,572.800344,11193.382167,9.548844,65.184318,58.959969,10.358387,4027,59.80175198632354,86.35000000000001,88.47055828777552,2.5056062104600927,1,76.98113867414318,0,0,0,0,11.797809,11.100412,11.726525,57.131428,58.235482,57.9385755,64.773253,65.507032,65.636482,11.071401,11.738873,11.402791,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,2.5056062104600927,10.787754,1,3,0,1,0,0,0
Central,2014,I,5527.199538,0.0,76.036123,596.260679,8543.982,3016.782462,4930.938859,515.591672,11236.740667,10.787754,64.691142,57.712421,9.328262,4028,59.80175198632354,86.35000000000001,88.47055828777552,2.0546182332227816,1,76.98113867414318,0,0,0,0,9.548844,11.797809,11.21547525,58.959969,57.131428,58.09334825,65.184318,64.773253,65.43474275,10.358387,11.071401,11.165323500000001,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,2.5056062104600927,9.624044,0,4,0,1,0,0,0
Central,2014,II,5518.575774,0.0,76.272472,531.110149,8603.983167,3085.407393,4987.465625,521.557523,11280.587833,9.624044,64.139779,57.966938,9.450944,4029,59.80175198632354,86.35000000000001,88.47055828777552,2.0546182332227816,1,76.98113867414318,0,0,0,0,10.787754,9.548844,10.80870475,57.712421,58.959969,58.009825,64.691142,65.184318,65.03893625,9.328262,10.358387,10.624230749999999,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,2.0546182332227816,10.805853,1,4,0,1,0,0,0
Central,2015,I,5492.77289,0.0,76.504275,593.540972,8665.3925,3172.61961,4899.231918,512.29754,11326.6775,10.805853,63.387468,56.537911,9.326756,4030,59.80175198632354,86.35000000000001,88.47055828777552,1.816804586542557,1,76.98113867414318,0,0,0,0,9.624044,10.787754,10.43961275,57.966938,57.712421,57.942689,64.139779,64.691142,64.697123,9.450944,9.328262,10.052248500000001,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,2.0546182332227816,9.64253,0,5,0,1,0,0,0
Central,2015,II,5583.85185,0.0,76.722004,538.424613,8727.397333,3143.545483,5045.427237,487.987043,11375.351167,9.64253,63.980722,57.811362,8.739255,4031,59.80175198632354,86.35000000000001,88.47055828777552,1.816804586542557,1,76.98113867414318,0,0,0,0,10.805853,9.624044,10.19162375,56.537911,57.966938,57.794309750000004,63.387468,64.139779,64.35067675,9.326756,9.450944,9.61608725,59.80175198632354,86.35000000000001,88.47055828777552,76.98113867414318,1.816804586542557,10.883367,1,5,0,1,0,0,0
