anio,periodo,informalidad_laboral_nacional
2021,I,59.80175198632354
2021,II,58.91424850798273
2022,I,58.19432163882343
2022,II,57.83291770794249
2023,I,56.958158233322564
2023,II,55.739957570608915
2024,I,56.052554334169734
2024,II,55.754455257184894
2025,I,56.12201016666666
2025,II,55.3332054
2026,I,55.253663
